Name,Phone,Address,Rating,Website,City,Category,Source,Date Scraped
Misti Restaurant & Cafe,,"Agar Road Paldi Meena, Jaipur",0.0,,Jaipur,Restaurants,Justdial,2026-03-17 16:24
bhagat laddu walas,,"Gandhi Path Vaishali Nagar, Jaipur",0.0,,Jaipur,Restaurants,Justdial,2026-03-17 16:24
GULABGARH,,"Iskon Road Mansarovar, Jaipur",0.0,,Jaipur,Restaurants,Justdial,2026-03-17 16:24
S M I Restaurant,,"Jhai Mahapura, Jaipur",0.0,,Jaipur,Restaurants,Justdial,2026-03-17 16:24
On The Way Vrestaurant,,"Amrapali Marg Vaishali Nagar, Jaipur",0.0,,Jaipur,Restaurants,Justdial,2026-03-17 16:24
Roll Express,,"Gandhipath Vaishali Nagar, Jaipur",0.0,,Jaipur,Restaurants,Justdial,2026-03-17 16:24
Shree Gopi Pavitra Bhojnalaya,,"Chaura Rasta Road Chaura Rasta, Jaipur",0.0,,Jaipur,Restaurants,Justdial,2026-03-17 16:24
House On Fire,,"Bajri Mandi Road Vaishali Nagar, Jaipur",0.0,,Jaipur,Restaurants,Justdial,2026-03-17 16:24
Cafe Kebabs,,"Arvind Marg M I Road, Jaipur",0.0,,Jaipur,Restaurants,Justdial,2026-03-17 16:24
Sabjiwalas,,"New Sanganer Road Sodala, Jaipur",0.0,,Jaipur,Restaurants,Justdial,2026-03-17 16:24
GULABGARH,917383396820.0,"Iskon Road Mansarovar, Jaipur",4.4,,Jaipur,Restaurants,Justdial,2026-03-17 16:46
Highland,917041823719.0,"Shipra Path Mansarovar, Jaipur",4.1,,Jaipur,Restaurants,Justdial,2026-03-17 16:46
Junction 14,918105407128.0,"Shipra Path Mansarovar, Jaipur",4.2,,Jaipur,Restaurants,Justdial,2026-03-17 16:46
Shree Gopi Pavitra Bhojnalaya,917041389341.0,"Chaura Rasta Road Chaura Rasta, Jaipur",4.1,,Jaipur,Restaurants,Justdial,2026-03-17 16:46
Ln Fine Dine Restorent Laduram Nanagram Mawa Wale,917041643475.0,"Sangane Road Sanganer Bazar, Jaipur",4.4,,Jaipur,Restaurants,Justdial,2026-03-17 16:46
bhagat laddu walas,919035653660.0,"Gandhi Path Vaishali Nagar, Jaipur",4.4,,Jaipur,Restaurants,Justdial,2026-03-17 16:46
House On Fire,918460500246.0,"Bajri Mandi Road Vaishali Nagar, Jaipur",4.1,,Jaipur,Restaurants,Justdial,2026-03-17 16:46
bhagat laddu walas,919035653660.0,"Gandhi Path Vaishali Nagar, Jaipur",4.4,,Jaipur,Restaurants,Justdial,2026-03-17 17:02
GULABGARH,917383396820.0,"Iskon Road Mansarovar, Jaipur",4.4,,Jaipur,Restaurants,Justdial,2026-03-17 17:02
Cafe Kebabs,919035627790.0,"Arvind Marg M I Road, Jaipur",4.3,,Jaipur,Restaurants,Justdial,2026-03-17 17:02
Teekha Gaon,919725139152.0,"Mahal Road Pratap Nagar, Jaipur",4.6,,Jaipur,Restaurants,Justdial,2026-03-17 17:02
S M I Restaurant,917041731765.0,"Jhai Mahapura, Jaipur",4.0,,Jaipur,Restaurants,Justdial,2026-03-17 17:02
Misti Restaurant & Cafe,917048502940.0,"Agar Road Paldi Meena, Jaipur",4.4,,Jaipur,Restaurants,Justdial,2026-03-17 17:02
House On Fire,918460500246.0,"Bajri Mandi Road Vaishali Nagar, Jaipur",4.1,,Jaipur,Restaurants,Justdial,2026-03-17 17:02
On The Way Vrestaurant,917383396535.0,"Amrapali Marg Vaishali Nagar, Jaipur",4.1,,Jaipur,Restaurants,Justdial,2026-03-17 17:02
Junction 14,918105407128.0,"Shipra Path Mansarovar, Jaipur",4.2,,Jaipur,Restaurants,Justdial,2026-03-18 13:52
bhagat laddu walas,919035653660.0,"Gandhi Path Vaishali Nagar, Jaipur",4.4,,Jaipur,Restaurants,Justdial,2026-03-18 13:52
Cafe Kebabs,919035627790.0,"Arvind Marg M I Road, Jaipur",4.3,,Jaipur,Restaurants,Justdial,2026-03-18 13:52
New Bakers Pride,919606424937.0,"Kalidas Marg Bani Park, Jaipur",3.9,,Jaipur,Restaurants,Justdial,2026-03-18 13:52
GULABGARH,917383396820.0,"Iskon Road Mansarovar, Jaipur",4.4,,Jaipur,Restaurants,Justdial,2026-03-18 13:52
Shree Gopi Pavitra Bhojnalaya,917041389341.0,"Chaura Rasta Road Chaura Rasta, Jaipur",4.1,,Jaipur,Restaurants,Justdial,2026-03-18 13:52
Cafe 99,919845421383.0,"Satya Vihar Lal Kothi, Jaipur",3.6,,Jaipur,Restaurants,Justdial,2026-03-18 13:52
House On Fire,918460500246.0,"Bajri Mandi Road Vaishali Nagar, Jaipur",4.1,,Jaipur,Restaurants,Justdial,2026-03-18 13:52
Highland,917041823719.0,"Shipra Path Mansarovar, Jaipur",4.1,,Jaipur,Restaurants,Justdial,2026-03-18 13:52
Misti Restaurant & Cafe,917048502940.0,"Agar Road Paldi Meena, Jaipur",4.4,,Jaipur,Restaurants,Justdial,2026-03-18 13:52
GULABGARH,917383396820.0,"Iskon Road Mansarovar, Jaipur",4.4,,Jaipur,Restaurants,Justdial,2026-03-18 13:56
Om Resort and Family Restaurant,918460408749.0,"Nh 21 Agra Road Jatwara, Jaipur",3.9,,Jaipur,Restaurants,Justdial,2026-03-18 13:56
Shree Gopi Pavitra Bhojnalaya,917041389341.0,"Chaura Rasta Road Chaura Rasta, Jaipur",4.1,,Jaipur,Restaurants,Justdial,2026-03-18 13:56
Cafe 99,919845421383.0,"Satya Vihar Lal Kothi, Jaipur",3.6,,Jaipur,Restaurants,Justdial,2026-03-18 13:56
Highland,917041823719.0,"Shipra Path Mansarovar, Jaipur",4.1,,Jaipur,Restaurants,Justdial,2026-03-18 13:56
Junction 14,918105407128.0,"Shipra Path Mansarovar, Jaipur",4.2,,Jaipur,Restaurants,Justdial,2026-03-18 13:56
bhagat laddu walas,919035653660.0,"Gandhi Path Vaishali Nagar, Jaipur",4.4,,Jaipur,Restaurants,Justdial,2026-03-18 13:56
Roll Express,917041543753.0,"Gandhipath Vaishali Nagar, Jaipur",3.9,,Jaipur,Restaurants,Justdial,2026-03-18 13:56
Misti Restaurant & Cafe,917048502940.0,"Agar Road Paldi Meena, Jaipur",4.4,,Jaipur,Restaurants,Justdial,2026-03-18 13:56
Cafe Kebabs,919035627790.0,"Arvind Marg M I Road, Jaipur",4.3,,Jaipur,Restaurants,Justdial,2026-03-18 13:56
bhagat laddu walas,+919035653660,"Gandhi Path Vaishali Nagar, Jaipur",4.4,,Jaipur,Restaurants,Justdial,2026-03-18 13:58
GULABGARH,+917383396820,"Iskon Road Mansarovar, Jaipur",4.4,,Jaipur,Restaurants,Justdial,2026-03-18 13:58
On The Way Vrestaurant,+917383396535,"Amrapali Marg Vaishali Nagar, Jaipur",4.1,,Jaipur,Restaurants,Justdial,2026-03-18 13:58
Om Resort and Family Restaurant,+918460408749,"Nh 21 Agra Road Jatwara, Jaipur",3.9,,Jaipur,Restaurants,Justdial,2026-03-18 13:58
New Bakers Pride,+919606424937,"Kalidas Marg Bani Park, Jaipur",3.9,,Jaipur,Restaurants,Justdial,2026-03-18 13:58
La Pino'z Pizza,+917405526180,"Pandit Ji Ke Thadi Jhotwara, Jaipur",4.3,,Jaipur,Restaurants,Justdial,2026-03-18 13:58
Junction 14,+918105407128,"Shipra Path Mansarovar, Jaipur",4.2,,Jaipur,Restaurants,Justdial,2026-03-18 13:58
The Door Restaurant,+919035274615,"Bhagwan Das Road M I Road, Jaipur",3.9,,Jaipur,Restaurants,Justdial,2026-03-18 13:58
Shree Gopi Pavitra Bhojnalaya,+917041389341,"Chaura Rasta Road Chaura Rasta, Jaipur",4.1,,Jaipur,Restaurants,Justdial,2026-03-18 13:58
Cafe Kebabs,+919035627790,"Arvind Marg M I Road, Jaipur",4.3,,Jaipur,Restaurants,Justdial,2026-03-18 13:58
Cafe 99,+919845421383,"Satya Vihar Lal Kothi, Jaipur",3.6,,Jaipur,Restaurants,Justdial,2026-03-18 13:58
Highland,+917041823719,"Shipra Path Mansarovar, Jaipur",4.1,,Jaipur,Restaurants,Justdial,2026-03-18 13:58
Ln Fine Dine Restorent Laduram Nanagram Mawa Wale,+917041643475,"Sangane Road Sanganer Bazar, Jaipur",4.4,,Jaipur,Restaurants,Justdial,2026-03-18 13:58
Hotel Gajab Gaon and Banquet,+917041875621,"Vishwakarma Industrial Area, Jaipur",4.6,,Jaipur,Restaurants,Justdial,2026-03-18 13:58
House On Fire,+918460500246,"Bajri Mandi Road Vaishali Nagar, Jaipur",4.1,,Jaipur,Restaurants,Justdial,2026-03-18 13:58
Uncle Louie'S Pizza,,"Nursery Circle Vaishali Nagar, Jaipur",3.8,,Jaipur,Restaurants,Justdial,2026-03-18 13:58
Sabjiwalas,+917041943591,"New Sanganer Road Sodala, Jaipur",3.9,,Jaipur,Restaurants,Justdial,2026-03-18 13:58
Teekha Gaon,+919725139152,"Mahal Road Pratap Nagar, Jaipur",4.6,,Jaipur,Restaurants,Justdial,2026-03-18 13:58
Roll Express,+917041543753,"Gandhipath Vaishali Nagar, Jaipur",3.9,,Jaipur,Restaurants,Justdial,2026-03-18 13:58
Gopi Restaurant,+917383258136,"Tonk Road Lal Kothi, Jaipur",3.9,,Jaipur,Restaurants,Justdial,2026-03-18 13:58
Waraahi,+918401899650,"Amrapali Marg Vaishali Nagar, Jaipur",4.5,,Jaipur,Restaurants,Justdial,2026-03-18 13:58
Misti Restaurant & Cafe,+917048502940,"Agar Road Paldi Meena, Jaipur",4.4,,Jaipur,Restaurants,Justdial,2026-03-18 13:58
S M I Restaurant,+917041731765,"Jhai Mahapura, Jaipur",4.0,,Jaipur,Restaurants,Justdial,2026-03-18 13:58
